InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 08:26:00,2.55,17850.0,United Kingdom
536365,71053,WHITE METAL LANTERN,6,2010-12-01 08:26:00,3.39,17850.0,United Kingdom
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 08:26:00,2.75,17850.0,United Kingdom
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 08:26:00,3.39,17850.0,United Kingdom
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 08:26:00,3.39,17850.0,United Kingdom
539725,22988,SOLDIERS EGG CUP ,6,2010-12-21 13:58:00,1.25,17211.0,United Kingdom
539725,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,6,2010-12-21 13:58:00,1.25,17211.0,United Kingdom
539725,22154,ANGEL DECORATION 3 BUTTONS ,12,2010-12-21 13:58:00,0.42,17211.0,United Kingdom
539725,21818,GLITTER CHRISTMAS HEART ,12,2010-12-21 13:58:00,0.85,17211.0,United Kingdom
539725,48138,DOORMAT UNION FLAG,1,2010-12-21 13:58:00,7.95,17211.0,United Kingdom
539725,48187,DOORMAT NEW ENGLAND,1,2010-12-21 13:58:00,7.95,17211.0,United Kingdom
539725,48188,DOORMAT WELCOME PUPPIES,1,2010-12-21 13:58:00,7.95,17211.0,United Kingdom
C539726,22791,T-LIGHT GLASS FLUTED ANTIQUE,-10,2010-12-21 14:24:00,1.25,17007.0,United Kingdom
539727,22933,BAKING MOULD EASTER EGG MILK CHOC,6,2010-12-21 14:26:00,2.95,12678.0,France
539727,22934,BAKING MOULD EASTER EGG WHITE CHOC,6,2010-12-21 14:26:00,2.95,12678.0,France
539727,22558,CLOTHES PEGS RETROSPOT PACK 24 ,12,2010-12-21 14:26:00,1.49,12678.0,France
539727,POST,POSTAGE,1,2010-12-21 14:26:00,18.0,12678.0,France
539728,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,24,2010-12-21 14:26:00,1.25,16270.0,United Kingdom
539728,22444,GROW YOUR OWN PLANT IN A CAN ,24,2010-12-21 14:26:00,1.25,16270.0,United Kingdom
539728,21917,SET 12 KIDS  WHITE CHALK STICKS,24,2010-12-21 14:26:00,0.42,16270.0,United Kingdom
539728,22607,WOODEN ROUNDERS GARDEN SET ,2,2010-12-21 14:26:00,9.95,16270.0,United Kingdom
539728,22538,MINI JIGSAW GO TO THE FAIR,24,2010-12-21 14:26:00,0.42,16270.0,United Kingdom
581587,22730,ALARM CLOCK BAKELIKE IVORY,4,2011-12-09 12:50:00,3.75,12680.0,France
581587,22367,CHILDRENS APRON SPACEBOY DESIGN,8,2011-12-09 12:50:00,1.95,12680.0,France
581587,22629,SPACEBOY LUNCH BOX ,12,2011-12-09 12:50:00,1.95,12680.0,France
581587,23256,CHILDRENS CUTLERY SPACEBOY ,4,2011-12-09 12:50:00,4.15,12680.0,France
581587,22613,PACK OF 20 SPACEBOY NAPKINS,12,2011-12-09 12:50:00,0.85,12680.0,France
581587,22899,CHILDREN'S APRON DOLLY GIRL ,6,2011-12-09 12:50:00,2.1,12680.0,France
581587,23254,CHILDRENS CUTLERY DOLLY GIRL ,4,2011-12-09 12:50:00,4.15,12680.0,France
581587,23255,CHILDRENS CUTLERY CIRCUS PARADE,4,2011-12-09 12:50:00,4.15,12680.0,France
581587,22138,BAKING SET 9 PIECE RETROSPOT ,3,2011-12-09 12:50:00,4.95,12680.0,France
